T+00:00:07.875 | INFO | Test mode initialized with 60 images
T+00:13:00.048 | INFO | Reproduciendo audio: /audio/stop.wav
T+00:13:00.118 | INFO | Testing image: /test/heon_IMG_1435.JPG (56/60)
T+00:13:01.033 | INFO | Connected! Sending HTTP request...
T+00:13:01.445 | INFO | All data sent (117199 bytes), waiting for response...

T+00:13:12.746 | INFO | {"status":"success","timestamp":"T+00:12:48.152","detected":true,"prediction":"green","confidence":1.000,"image_size":117199,"inference_time_ms":8673}
T+00:13:12.762 | INFO | Test image sent: /test/heon_IMG_1435.JPG
T+00:13:13.290 | INFO | Reproduciendo audio: /audio/go.wav
T+00:13:13.327 | INFO | Testing image: /test/john_39541545040071_.pic_hd.jpg (57/60)
T+00:13:14.243 | INFO | Connected! Sending HTTP request...
T+00:13:15.344 | INFO | All data sent (124449 bytes), waiting for response...

T+00:13:26.645 | INFO | {"status":"success","timestamp":"T+00:13:02.054","detected":true,"prediction":"countdown_green","confidence":1.000,"image_size":124449,"inference_time_ms":9359}
T+00:13:26.661 | INFO | Test image sent: /test/john_39541545040071_.pic_hd.jpg
T+00:13:27.189 | INFO | Reproduciendo audio: /audio/warning.wav
T+00:13:27.254 | INFO | Testing image: /test/sam_IMG_1391.jpg (58/60)
T+00:13:28.064 | INFO | Connected! Sending HTTP request...
T+00:13:29.097 | ERROR | ntdown
T+00:13:29.113 | ERROR | Failed to send test image: /test/sam_IMG_1391.jpg
T+00:13:30.640 | INFO | Testing image: /test/john_IMG_1700.jpg (59/60)
T+00:13:31.650 | INFO | Connected! Sending HTTP request...
T+00:13:33.080 | INFO | All data sent (138667 bytes), waiting for response...

T+00:13:44.666 | INFO | {"status":"success","timestamp":"T+00:13:20.070","detected":true,"prediction":"red","confidence":1.000,"image_size":138667,"inference_time_ms":9966}
T+00:13:44.685 | INFO | Test image sent: /test/john_IMG_1700.jpg
T+00:13:45.213 | INFO | Reproduciendo audio: /audio/stop.wav
T+00:13:45.275 | INFO | Testing image: /test/john_IMG_0808.jpg (60/60)
T+00:13:46.190 | INFO | Connected! Sending HTTP request...
T+00:13:48.140 | INFO | All data sent (100306 bytes), waiting for response...

T+00:13:59.404 | INFO | {"status":"success","timestamp":"T+00:13:34.808","detected":true,"prediction":"countdown_blank","confidence":1.000,"image_size":100306,"inference_time_ms":10171}
T+00:13:59.423 | INFO | Test image sent: /test/john_IMG_0808.jpg
T+00:13:59.446 | INFO | Completed test cycle: 60 images
T+00:13:59.983 | INFO | Testing image: /test/john_IMG_1583.jpg (1/60)
T+00:14:00.935 | INFO | Connected! Sending HTTP request...
T+00:14:04.939 | INFO | All data sent (149771 bytes), waiting for response...

T+00:14:16.405 | INFO | {"status":"success","timestamp":"T+00:13:51.822","detected":true,"prediction":"green","confidence":1.000,"image_size":149771,"inference_time_ms":12440}
T+00:14:16.424 | INFO | Test image sent: /test/john_IMG_1583.jpg
T+00:14:16.952 | INFO | Reproduciendo audio: /audio/go.wav
