id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas,interaccion,audio_path,latencia_ms,t_total_ms_numeric,distancia_verdad_cm,distancia_estimada_cm,diferencia_distancia_pct,clasificacion_distancia,texto_verdad,texto_predicho
472,2025-01-01T00:07:42.973000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27950 bytes",,,,1.1,,,,,,
473,2025-01-01T00:07:44.039000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 23920 bytes",,,,1.1,,,,,,
474,2025-01-01T00:07:44.443000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.4,,,"Image captured: 1024x768, 27253 bytes",,,,0.4,,,,,,
475,2025-01-01T00:07:45.593000,ESP,ESP32,2A,,,,,,00:01.2,,,"Image captured: 1024x768, 25262 bytes",,,,1.2,,,,,,
476,2025-01-01T00:07:47.153000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 25125 bytes",,,,1.6,,,,,,
477,2025-01-01T00:07:47.267000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 25136 bytes",,,,0.1,,,,,,
478,2025-01-01T00:07:49.257000,ESP,ESP32,2A,,,,,,00:02.0,,,"Image captured: 1024x768, 24550 bytes",,,,2,,,,,,
479,2025-01-01T00:07:49.360000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 22170 bytes",,,,0.1,,,,,,
480,2025-01-01T00:07:51.323000,ESP,ESP32,2A,,,,,,00:02.0,,,"Image captured: 1024x768, 25172 bytes",,,,2,,,,,,
481,2025-01-01T00:07:52.387000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 25593 bytes",,,,1.1,,,,,,
482,2025-01-01T00:07:53.968000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 26371 bytes",,,,1.6,,,,,,
483,2025-01-01T00:07:55.531000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 25421 bytes",,,,1.6,,,,,,
484,2025-01-01T00:07:56.635000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27775 bytes",,,,1.1,,,,,,
485,2025-01-01T00:07:58.237000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 26904 bytes",,,,1.6,,,,,,
486,2025-01-01T00:07:58.555000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.3,,,"Image captured: 1024x768, 27503 bytes",,,,0.3,,,,,,
487,2025-01-01T00:07:58.848000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 27464 bytes",,,,0.3,,,,,,
488,2025-01-01T00:07:59.797000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 25227 bytes",,,,0.9,,,,,,
489,2025-01-01T00:08:00.486000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 25690 bytes",,,,0.7,,,,,,
490,2025-01-01T00:08:01.457000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 26900 bytes",,,,1,,,,,,
491,2025-01-01T00:08:02.597000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 26334 bytes",,,,1.1,,,,,,
492,2025-01-01T00:08:02.961000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 26023 bytes",,,,0.4,,,,,,
493,2025-01-01T00:08:04.051000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27060 bytes",,,,1.1,,,,,,
494,2025-01-01T00:08:04.714000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.7,,,"Image captured: 1024x768, 45728 bytes",,,,0.7,,,,,,
495,2025-01-01T00:08:05.163000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 28540 bytes",,,,0.4,,,,,,
496,2025-01-01T00:08:07.208000,ESP,ESP32,2A,,,,,,00:02.0,,,"Image captured: 1024x768, 25444 bytes",,,,2,,,,,,
497,2025-01-01T00:08:07.298000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.1,,,"Image captured: 1024x768, 32774 bytes",,,,0.1,,,,,,
498,2025-01-01T00:08:07.951000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 22333 bytes",,,,0.7,,,,,,
499,2025-01-01T00:08:09.409000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.5,,,"Image captured: 1024x768, 41216 bytes",,,,1.5,,,,,,
500,2025-01-01T00:08:09.783000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 26857 bytes",,,,0.4,,,,,,
501,2025-01-01T00:08:10.857000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 26255 bytes",,,,1.1,,,,,,
502,2025-01-01T00:08:11.294000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 27514 bytes",,,,0.4,,,,,,
503,2025-01-01T00:08:12.430000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 26665 bytes",,,,1.1,,,,,,
504,2025-01-01T00:08:13.493000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27168 bytes",,,,1.1,,,,,,
505,2025-01-01T00:08:14.155000,ESP,ESP32,"3.3, 3.4",,,,,,00:00.7,,,"Image captured: 1024x768, 27688 bytes",,,,0.7,,,,,,
506,2025-01-01T00:08:15.056000,ESP,ESP32,2A,,,,,,00:00.9,,,"Image captured: 1024x768, 27118 bytes",,,,0.9,,,,,,
507,2025-01-01T00:08:16.623000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 27227 bytes",,,,1.6,,,,,,
508,2025-01-01T00:08:18.229000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 26732 bytes",,,,1.6,,,,,,
509,2025-01-01T00:08:19.009000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.8,,,"Image captured: 1024x768, 39203 bytes",,,,0.8,,,,,,
510,2025-01-01T00:08:21.559000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 25197 bytes",,,,2.6,,,,,,
511,2025-01-01T00:08:21.948000,ESP,ESP32,2A,,,,,,00:00.4,,,"Image captured: 1024x768, 26963 bytes",,,,0.4,,,,,,
512,2025-01-01T00:08:24.292000,ESP,ESP32,2A,,,,,,00:02.3,,,"Image captured: 1024x768, 26829 bytes",,,,2.3,,,,,,
513,2025-01-01T00:08:44.643000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:20.4,,,"Image captured: 1024x768, 42571 bytes",,,,20.4,,,,,,
514,2025-01-01T00:08:47.242000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.6,,,"Image captured: 1024x768, 45548 bytes",,,,2.6,,,,,,
515,2025-01-01T00:08:49.848000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.6,,,"Image captured: 1024x768, 42750 bytes",,,,2.6,,,,,,
516,2025-01-01T00:08:54.432000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:04.6,,,"Image captured: 1024x768, 42231 bytes",,,,4.6,,,,,,
517,2025-01-01T00:08:54.938000,ESP,ESP32,2A,,,,,,00:00.5,,,"Image captured: 1024x768, 27919 bytes",,,,0.5,,,,,,
518,2025-01-01T00:08:56.096000,ESP,ESP32,2A,,,,,,00:01.2,,,"Image captured: 1024x768, 27459 bytes",,,,1.2,,,,,,
519,2025-01-01T00:08:56.520000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,"Image captured: 1024x768, 42777 bytes",,,,0.4,,,,,,
520,2025-01-01T00:08:57.170000,ESP,ESP32,2A,,,,,,00:00.7,,,"Image captured: 1024x768, 28431 bytes",,,,0.7,,,,,,
521,2025-01-01T00:08:58.601000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.4,,,"Image captured: 1024x768, 38551 bytes",,,,1.4,,,,,,
522,2025-01-01T00:08:58.737000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 27789 bytes",,,,0.1,,,,,,
523,2025-01-01T00:09:01.331000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 26920 bytes",,,,2.6,,,,,,
524,2025-01-01T00:09:01.685000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,"Image captured: 1024x768, 38108 bytes",,,,0.4,,,,,,
525,2025-01-01T00:09:02.888000,ESP,ESP32,2A,,,,,,00:01.2,,,"Image captured: 1024x768, 28429 bytes",,,,1.2,,,,,,
526,2025-01-01T00:09:03.953000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27457 bytes",,,,1.1,,,,,,
527,2025-01-01T00:09:06.512000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 26921 bytes",,,,2.6,,,,,,
528,2025-01-01T00:09:08.145000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 27632 bytes",,,,1.6,,,,,,
529,2025-01-01T00:09:10.709000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 26130 bytes",,,,2.6,,,,,,
530,2025-01-01T00:09:12.266000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 27284 bytes",,,,1.6,,,,,,
531,2025-01-01T00:09:14.830000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 26089 bytes",,,,2.6,,,,,,
532,2025-01-01T00:09:16.395000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 26348 bytes",,,,1.6,,,,,,
533,2025-01-01T00:09:18.457000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 26918 bytes",,,,2.1,,,,,,
534,2025-01-01T00:09:21.017000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 26827 bytes",,,,2.6,,,,,,
535,2025-01-01T00:09:22.581000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 26841 bytes",,,,1.6,,,,,,
536,2025-01-01T00:09:25.149000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 27529 bytes",,,,2.6,,,,,,
537,2025-01-01T00:09:31.215000,ESP,ESP32,2A,,,,,,00:06.1,,,"Image captured: 1024x768, 26799 bytes",,,,6.1,,,,,,
538,2025-01-01T00:09:32.837000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.6,,,"Image captured: 1024x768, 38839 bytes",,,,1.6,,,,,,
539,2025-01-01T00:09:34.915000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.1,,,"Image captured: 1024x768, 39359 bytes",,,,2.1,,,,,,
540,2025-01-01T00:09:37.006000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.1,,,"Image captured: 1024x768, 40239 bytes",,,,2.1,,,,,,
541,2025-01-01T00:09:39.097000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.1,,,"Image captured: 1024x768, 40837 bytes",,,,2.1,,,,,,
542,2025-01-01T00:09:43.267000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:04.2,,,"Image captured: 1024x768, 37818 bytes",,,,4.2,,,,,,
543,2025-01-01T00:09:47.372000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:04.1,,,"Image captured: 1024x768, 38391 bytes",,,,4.1,,,,,,
544,2025-01-01T00:09:52.074000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:04.7,,,"Image captured: 1024x768, 34953 bytes",,,,4.7,,,,,,
545,2025-01-01T00:09:55.656000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:03.6,,,"Image captured: 1024x768, 33448 bytes",,,,3.6,,,,,,
546,2025-01-01T00:09:59.241000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:03.6,,,"Image captured: 1024x768, 36109 bytes",,,,3.6,,,,,,
547,2025-01-01T00:10:22.980000,ESP,ESP32,"3.3, 3.4",,,,,,00:23.7,,,"Image captured: 1024x768, 27551 bytes",,,,23.7,,,,,,
548,2025-01-01T00:10:39.082000,ESP,ESP32,"3.3, 3.4",,,,,,00:16.1,,,"Image captured: 1024x768, 27070 bytes",,,,16.1,,,,,,
549,2025-01-01T00:10:56.184000,ESP,ESP32,"3.3, 3.4",,,,,,00:17.1,,,"Image captured: 1024x768, 28592 bytes",,,,17.1,,,,,,
550,2025-01-01T00:11:11.291000,ESP,ESP32,"3.3, 3.4",,,,,,00:15.1,,,"Image captured: 1024x768, 27024 bytes",,,,15.1,,,,,,
551,2025-01-01T00:11:21.873000,ESP,ESP32,2A,,,,,,00:10.6,,,"Image captured: 1024x768, 27429 bytes",,,,10.6,,,,,,
552,2025-01-01T00:11:22.932000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27858 bytes",,,,1.1,,,,,,
553,2025-01-01T00:11:23.995000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 29353 bytes",,,,1.1,,,,,,
554,2025-01-01T00:11:25.556000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 29277 bytes",,,,1.6,,,,,,
555,2025-01-01T00:11:27.388000,ESP,ESP32,"3.3, 3.4",,,,,,00:01.8,,,"Image captured: 1024x768, 27763 bytes",,,,1.8,,,,,,
556,2025-01-01T00:11:27.634000,ESP,ESP32,2A,,,,,,00:00.2,,,"Image captured: 1024x768, 29431 bytes",,,,0.2,,,,,,
557,2025-01-01T00:11:28.702000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 28706 bytes",,,,1.1,,,,,,
558,2025-01-01T00:11:29.772000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27857 bytes",,,,1.1,,,,,,
559,2025-01-01T00:11:31.352000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 28359 bytes",,,,1.6,,,,,,
560,2025-01-01T00:11:33.012000,ESP,ESP32,2A,,,,,,00:01.7,,,"Image captured: 1024x768, 29348 bytes",,,,1.7,,,,,,
561,2025-01-01T00:11:34.153000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27380 bytes",,,,1.1,,,,,,
562,2025-01-01T00:11:35.725000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 27497 bytes",,,,1.6,,,,,,
563,2025-01-01T00:11:37.315000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 28347 bytes",,,,1.6,,,,,,
564,2025-01-01T00:11:39.383000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 30307 bytes",,,,2.1,,,,,,
565,2025-01-01T00:11:40.503000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27798 bytes",,,,1.1,,,,,,
566,2025-01-01T00:11:42.587000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 29316 bytes",,,,2.1,,,,,,
567,2025-01-01T00:11:45.165000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 30199 bytes",,,,2.6,,,,,,
568,2025-01-01T00:11:51.237000,ESP,ESP32,2A,,,,,,00:06.1,,,"Image captured: 1024x768, 29977 bytes",,,,6.1,,,,,,
569,2025-01-01T00:12:00.822000,ESP,ESP32,2A,,,,,,00:09.6,,,"Image captured: 1024x768, 30290 bytes",,,,9.6,,,,,,
570,2025-01-01T00:12:12.442000,ESP,ESP32,2A,,,,,,00:11.6,,,"Image captured: 1024x768, 28106 bytes",,,,11.6,,,,,,
571,2025-01-01T00:15:06.856000,ESP,ESP32,2A,,,,,,02:54.4,,,"Image captured: 1024x768, 29278 bytes",,,,174.4,,,,,,
572,2025-01-01T00:15:08.920000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 28341 bytes",,,,2.1,,,,,,
573,2025-01-01T00:15:08.926000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 28472 bytes",,,,0,,,,,,
574,2025-01-01T00:15:09.978000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 27391 bytes",,,,1.1,,,,,,
575,2025-01-01T00:15:09.990000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 29108 bytes",,,,0,,,,,,
576,2025-01-01T00:15:11.033000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 31087 bytes",,,,1,,,,,,
577,2025-01-01T00:15:11.047000,ESP,ESP32,2A,,,,,,00:00.0,,,"Image captured: 1024x768, 27447 bytes",,,,0,,,,,,
578,2025-01-01T00:15:12.106000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 30699 bytes",,,,1.1,,,,,,
579,2025-01-01T00:15:12.210000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 27923 bytes",,,,0.1,,,,,,
580,2025-01-01T00:15:13.176000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 31978 bytes",,,,1,,,,,,
581,2025-01-01T00:15:13.772000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 26741 bytes",,,,0.6,,,,,,
582,2025-01-01T00:15:14.829000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 28583 bytes",,,,1.1,,,,,,
583,2025-01-01T00:15:15.897000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 32126 bytes",,,,1.1,,,,,,
584,2025-01-01T00:15:18.476000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 30963 bytes",,,,2.6,,,,,,
585,2025-01-01T00:15:19.249000,ESP,ESP32,2A,,,,,,00:00.8,,,"Image captured: 1024x768, 31985 bytes",,,,0.8,,,,,,
586,2025-01-01T00:15:19.585000,ESP,ESP32,2A,,,,,,00:00.3,,,"Image captured: 1024x768, 32276 bytes",,,,0.3,,,,,,
587,2025-01-01T00:15:20.656000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 28762 bytes",,,,1.1,,,,,,
588,2025-01-01T00:15:22.224000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 27505 bytes",,,,1.6,,,,,,
589,2025-01-01T00:15:23.281000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 26895 bytes",,,,1.1,,,,,,
590,2025-01-01T00:15:24.338000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 31020 bytes",,,,1.1,,,,,,
591,2025-01-01T00:15:26.413000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 31876 bytes",,,,2.1,,,,,,
592,2025-01-01T00:15:27.500000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 30163 bytes",,,,1.1,,,,,,
593,2025-01-01T00:15:29.066000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 31060 bytes",,,,1.6,,,,,,
594,2025-01-01T00:15:35.134000,ESP,ESP32,2A,,,,,,00:06.1,,,"Image captured: 1024x768, 30685 bytes",,,,6.1,,,,,,
595,2025-01-01T00:15:36.349000,ESP,ESP32,2A,,,,,,00:01.2,,,"Image captured: 1024x768, 30600 bytes",,,,1.2,,,,,,
596,2025-01-01T00:15:43.287000,ESP,ESP32,2A,,,,,,00:06.9,,,"Image captured: 1024x768, 31663 bytes",,,,6.9,,,,,,
597,2025-01-01T00:15:45.435000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 30907 bytes",,,,2.1,,,,,,
598,2025-01-01T00:15:49.364000,ESP,ESP32,2A,,,,,,00:03.9,,,"Image captured: 1024x768, 31607 bytes",,,,3.9,,,,,,
599,2025-01-01T00:15:52.934000,ESP,ESP32,2A,,,,,,00:03.6,,,"Image captured: 1024x768, 30585 bytes",,,,3.6,,,,,,
600,2025-01-01T00:15:53.523000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 31808 bytes",,,,0.6,,,,,,
601,2025-01-01T00:15:57.506000,ESP,ESP32,2A,,,,,,00:04.0,,,"Image captured: 1024x768, 32160 bytes",,,,4,,,,,,
602,2025-01-01T00:16:01.635000,ESP,ESP32,2A,,,,,,00:04.1,,,"Image captured: 1024x768, 31315 bytes",,,,4.1,,,,,,
603,2025-01-01T00:16:09.228000,ESP,ESP32,2A,,,,,,00:07.6,,,"Image captured: 1024x768, 32325 bytes",,,,7.6,,,,,,
604,2025-01-01T00:16:17.320000,ESP,ESP32,2A,,,,,,00:08.1,,,"Image captured: 1024x768, 32257 bytes",,,,8.1,,,,,,
605,2025-01-01T00:16:30.915000,ESP,ESP32,2A,,,,,,00:13.6,,,"Image captured: 1024x768, 32020 bytes",,,,13.6,,,,,,
606,2025-01-01T00:16:38.180000,ESP,ESP32,2A,,,,,,00:07.3,,,"Image captured: 1024x768, 33754 bytes",,,,7.3,,,,,,
607,2025-01-01T00:16:41.243000,ESP,ESP32,2A,,,,,,00:03.1,,,"Image captured: 1024x768, 29804 bytes",,,,3.1,,,,,,
608,2025-01-01T00:16:43.812000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 25612 bytes",,,,2.6,,,,,,
609,2025-01-01T00:16:45.371000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 25845 bytes",,,,1.6,,,,,,
610,2025-01-01T00:16:46.930000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 27669 bytes",,,,1.6,,,,,,
611,2025-01-01T00:16:48.508000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 29677 bytes",,,,1.6,,,,,,
612,2025-01-01T00:16:49.575000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 31147 bytes",,,,1.1,,,,,,
613,2025-01-01T00:16:52.151000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 29198 bytes",,,,2.6,,,,,,
614,2025-01-01T00:16:53.223000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 30699 bytes",,,,1.1,,,,,,
615,2025-01-01T00:16:54.782000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 30800 bytes",,,,1.6,,,,,,
616,2025-01-01T00:17:00.853000,ESP,ESP32,2A,,,,,,00:06.1,,,"Image captured: 1024x768, 29923 bytes",,,,6.1,,,,,,
617,2025-01-01T00:17:04.991000,ESP,ESP32,2A,,,,,,00:04.1,,,"Image captured: 1024x768, 29722 bytes",,,,4.1,,,,,,
618,2025-01-01T00:17:08.590000,ESP,ESP32,2A,,,,,,00:03.6,,,"Image captured: 1024x768, 29825 bytes",,,,3.6,,,,,,
619,2025-01-01T00:17:11.173000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 28854 bytes",,,,2.6,,,,,,
620,2025-01-01T00:17:13.806000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 31731 bytes",,,,2.6,,,,,,
621,2025-01-01T00:17:27.393000,ESP,ESP32,2A,,,,,,00:13.6,,,"Image captured: 1024x768, 31305 bytes",,,,13.6,,,,,,
622,2025-01-01T00:17:34.016000,ESP,ESP32,2A,,,,,,00:06.6,,,"Image captured: 1024x768, 30932 bytes",,,,6.6,,,,,,
623,2025-01-01T00:17:51.603000,ESP,ESP32,2A,,,,,,00:17.6,,,"Image captured: 1024x768, 29907 bytes",,,,17.6,,,,,,
624,2025-01-01T00:17:54.174000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 29968 bytes",,,,2.6,,,,,,
625,2025-01-01T00:17:56.243000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 26482 bytes",,,,2.1,,,,,,
626,2025-01-01T00:17:58.309000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 28575 bytes",,,,2.1,,,,,,
627,2025-01-01T00:18:00.392000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 28760 bytes",,,,2.1,,,,,,
628,2025-01-01T00:18:02.460000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 28442 bytes",,,,2.1,,,,,,
629,2025-01-01T00:18:05.027000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 28842 bytes",,,,2.6,,,,,,
630,2025-01-01T00:18:07.114000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 30166 bytes",,,,2.1,,,,,,
631,2025-01-01T00:18:08.692000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 30314 bytes",,,,1.6,,,,,,
632,2025-01-01T00:18:10.756000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 30486 bytes",,,,2.1,,,,,,
633,2025-01-01T00:18:12.825000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 30162 bytes",,,,2.1,,,,,,
634,2025-01-01T00:18:14.889000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 31316 bytes",,,,2.1,,,,,,
635,2025-01-01T00:18:16.525000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 28797 bytes",,,,1.6,,,,,,
636,2025-01-01T00:18:18.097000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 29252 bytes",,,,1.6,,,,,,
637,2025-01-01T00:18:20.168000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 29391 bytes",,,,2.1,,,,,,
638,2025-01-01T00:18:21.740000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 1024x768, 29127 bytes",,,,1.6,,,,,,
639,2025-01-01T00:18:38.341000,ESP,ESP32,2A,,,,,,00:16.6,,,"Image captured: 1024x768, 29229 bytes",,,,16.6,,,,,,
640,2025-01-01T00:18:40.415000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 28266 bytes",,,,2.1,,,,,,
641,2025-01-01T00:18:42.479000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 30839 bytes",,,,2.1,,,,,,
642,2025-01-01T00:18:45.063000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 33036 bytes",,,,2.6,,,,,,
643,2025-01-01T00:18:47.132000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 32858 bytes",,,,2.1,,,,,,
644,2025-01-01T00:18:49.194000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 33071 bytes",,,,2.1,,,,,,
645,2025-01-01T00:18:51.272000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 34217 bytes",,,,2.1,,,,,,
646,2025-01-01T00:18:54.389000,ESP,ESP32,2A,,,,,,00:03.1,,,"Image captured: 1024x768, 30435 bytes",,,,3.1,,,,,,
647,2025-01-01T00:18:56.954000,ESP,ESP32,2A,,,,,,00:02.6,,,"Image captured: 1024x768, 33904 bytes",,,,2.6,,,,,,
648,2025-01-01T00:19:00.032000,ESP,ESP32,2A,,,,,,00:03.1,,,"Image captured: 1024x768, 34030 bytes",,,,3.1,,,,,,
649,2025-01-01T00:19:02.117000,ESP,ESP32,2A,,,,,,00:02.1,,,"Image captured: 1024x768, 33991 bytes",,,,2.1,,,,,,
